image_name,steering_angle
frame_2024-12-15_10-49-28_angle_30_aug_208.jpg,30
frame_2024-12-15_10-49-50_angle_30_aug_296.jpg,30
frame_2024-12-15_12-25-55_angle_120.jpg,120
frame_2024-12-15_12-33-55_angle_120.jpg,120
frame_2024-12-15_14-40-09_angle_120.jpg,120
frame_2024-12-15_12-26-57_angle_60_aug_29.jpg,60
frame_2024-12-15_12-24-41_angle_120.jpg,120
frame_2024-12-15_12-34-44_angle_120.jpg,120
frame_2024-12-15_13-17-20_angle_120.jpg,120
frame_2024-12-15_12-29-05_angle_120.jpg,120
frame_2024-12-15_10-50-09_angle_60_aug_96.jpg,60
frame_2024-12-15_12-44-39_angle_90.jpg,90
frame_2024-12-15_12-28-57_angle_90.jpg,90
frame_2024-12-15_12-56-05_angle_30_aug_159.jpg,30
frame_2024-12-15_12-28-33_angle_90.jpg,90
frame_2024-12-15_13-06-22_angle_90.jpg,90
frame_2024-12-15_12-51-52_angle_90.jpg,90
frame_2024-12-15_13-06-33_angle_120.jpg,120
frame_2024-12-15_12-26-39_angle_120.jpg,120
frame_2024-12-15_10-49-45_angle_30_aug_300.jpg,30
frame_2024-12-15_12-29-10_angle_90.jpg,90
frame_2024-12-15_12-34-05_angle_90.jpg,90
frame_2024-12-15_14-37-17_angle_120.jpg,120
frame_2024-12-15_12-30-58_angle_150.jpg,150
frame_2024-12-15_12-42-50_angle_60.jpg,60
frame_2024-12-15_10-48-44_angle_30_aug_122.jpg,30
frame_2024-12-15_12-33-39_angle_120.jpg,120
frame_2024-12-15_12-54-30_angle_120.jpg,120
frame_2024-12-15_12-33-36_angle_120.jpg,120
frame_2024-12-15_12-41-03_angle_90.jpg,90
frame_2024-12-15_12-46-20_angle_150_aug_13.jpg,150
frame_2024-12-15_12-40-11_angle_120.jpg,120
frame_2024-12-15_12-28-29_angle_60_aug_11.jpg,60
frame_2024-12-15_12-28-36_angle_30_aug_85.jpg,30
frame_2024-12-15_12-25-12_angle_90.jpg,90
frame_2024-12-15_12-25-46_angle_60.jpg,60
frame_2024-12-15_12-28-27_angle_120.jpg,120
frame_2024-12-15_10-51-06_angle_60_aug_80.jpg,60
frame_2024-12-15_12-25-20_angle_60_aug_47.jpg,60
frame_2024-12-15_12-31-49_angle_120.jpg,120
frame_2024-12-15_12-30-45_angle_90.jpg,90
frame_2024-12-15_10-48-39_angle_60_aug_115.jpg,60
frame_2024-12-15_12-22-08_angle_90.jpg,90
frame_2024-12-15_12-45-29_angle_90.jpg,90
frame_2024-12-15_12-32-56_angle_60.jpg,60
frame_2024-12-15_13-06-56_angle_120.jpg,120
frame_2024-12-15_12-28-12_angle_90.jpg,90
frame_2024-12-15_12-30-09_angle_90.jpg,90
frame_2024-12-15_13-18-18_angle_90.jpg,90
frame_2024-12-15_10-50-36_angle_120.jpg,120
frame_2024-12-15_12-42-38_angle_120.jpg,120
frame_2024-12-15_12-23-51_angle_120.jpg,120
frame_2024-12-15_13-17-41_angle_30_aug_316.jpg,30
frame_2024-12-15_13-10-15_angle_90.jpg,90
frame_2024-12-15_13-24-15_angle_150.jpg,150
frame_2024-12-15_12-56-13_angle_30_aug_58.jpg,30
